sorted_opacity shape: torch.Size([225, 1]), gauss_weight shape: torch.Size([64, 225])
sorted_opacity shape: torch.Size([370, 1]), gauss_weight shape: torch.Size([64, 370])
sorted_opacity shape: torch.Size([532, 1]), gauss_weight shape: torch.Size([64, 532])
sorted_opacity shape: torch.Size([707, 1]), gauss_weight shape: torch.Size([64, 707])
sorted_opacity shape: torch.Size([872, 1]), gauss_weight shape: torch.Size([64, 872])
sorted_opacity shape: torch.Size([1009, 1]), gauss_weight shape: torch.Size([64, 1009])
sorted_opacity shape: torch.Size([1180, 1]), gauss_weight shape: torch.Size([64, 1180])
sorted_opacity shape: torch.Size([1345, 1]), gauss_weight shape: torch.Size([64, 1345])
sorted_opacity shape: torch.Size([1507, 1]), gauss_weight shape: torch.Size([64, 1507])
sorted_opacity shape: torch.Size([1733, 1]), gauss_weight shape: torch.Size([64, 1733])
sorted_opacity shape: torch.Size([1916, 1]), gauss_weight shape: torch.Size([64, 1916])
